"idestacion","nombre","latitud","longitud","red","municipio"
2701035,CHORRILLOS,6.29913,-75.5061,EPM,MEDELLIN
2701038,SAN ANTONIO PRADO,6.18767,-75.6649,EPM,MEDELLIN
2701045,PLANTA VILLA HERMOSA,6.26077,-75.5506,EPM,MEDELLIN
2701046,SAN CRISTOBAL,6.28366,-75.639,EPM,MEDELLIN
2701056,GIRARDOTA,6.3855,-75.4575,EPM,GIRARDOTA
2701093,AYURA,6.16888,-75.5681,EPM,ENVIGADO
2701114,CUCARACHO,6.2869,-75.6119,EPM,MEDELLIN
2701122,EL CONVENTO (Copacabana),6.33779,-75.5163,EPM,COPACABANA
2701481,PEDREGAL CC ACUEDUCTO,6.30743,-75.5777,EPM,MEDELLIN
2701485,GERONA,6.2339,-75.5539,EPM,MEDELLIN
2701057,BARBOSA,6.44386,-75.3324,EPM,BARBOSA
2701950,MANANTIALES,6.36439,-75.531,EPM,MEDELLIN
2701115,EL ASTILLERO,6.25958,-75.6788,EPM,MEDELLIN
2701036,CALDAS,6.04803,-75.6292,EPM,CALDAS
2701517,MIGUEL DE AGUINAGA ,6.25601,-75.5719,EPM,MEDELLIN
2308023,PALMAS,6.15504,-75.5394,EPM,MEDELLIN
2701461,PALENQUE,6.28045,-75.5959,EPM,MEDELLIN
2701462,POTRERITOS,6.31626,-75.574,EPM,MEDELLIN
9351394,Pluviometro Tanque La Asomadera,6.2259,-75.5591,EPM,MEDELLIN
9347223,Pluviometro Tanque Palenque,6.28045,-75.5959,EPM,MEDELLIN
9351419,Pluviometro Tanque La Pinuela,6.27697,-75.5557,EPM,MEDELLIN
9350974,Pluviometro Tanque El Esmeraldal,6.176,-75.5573,EPM,ENVIGADO
