,Codigo,Latitude,Longitude,FechaInstalacion,estado,NombreEstacion,Ciudad
14,1,6.2226,-75.6282,2010-01-12,A,Casa de Gobierno Altavista,Medellin
18,2,6.186856,-75.640688,2010-01-01,A,Escuela Rural La Verde,Medellin
19,3,6.233091,-75.694264,2010-01-01,A,Escuela Rural Yarumalito,Medellin
27,4,6.343086,-75.690804,2010-03-01,A,I.E Hector Rogelio Montoya,Medellin
3,5,6.206213,-75.492144,2010-01-01,A,I.E Santa Elena,Medellin
9,7,6.2939,-75.5774,2010-01-01,A,Escuela Republica de Cuba,Medellin
10,8,6.21959,-75.636239,2010-01-01,A,Escuela CEDEPRO,Medellin
17,9,6.237277,-75.610934,2010-01-01,A,Instituto Pedro Justo Berrio,Medellin
2,10,6.315334,-75.657627,2010-01-01,A,Escuela Rural El Boqueron,Medellin
5,11,6.273131,-75.651637,2010-01-04,A,Escuela Rural Fabio Zuluaga,Medellin
15,12,6.258,-75.6005,2010-01-01,A,I.E Concejo de Medellin,Medellin
23,14,6.306341,-75.584912,2010-01-01,A,Escuela El Triunfo ,Medellin
24,15,6.181003,-75.566532,2010-01-01,A,Colegio San Lucas ,Medellin
25,16,6.269766,-75.543435,2010-01-01,A,I.E Ramon Munera Lopera,Medellin
12,17,6.247227,-75.629765,2010-01-28,A,Escuela El Corazon ,Medellin
6,18,6.211125,-75.671025,2010-01-11,A,Escuela El Salado,Medellin
16,19,6.17832,-75.603738,2010-01-09,A,Tecnologico Antioquia,Itagui
8,20,6.294109,-75.611326,2010-01-12,A,Fundacion Hogares Claret,Medellin
11,21,6.304081,-75.639127,2010-01-11,A,Escuela Rural San Jose de la Montana,Medellin
26,22,6.205189,-75.602037,2010-01-04,A,Escuela La Capilla del Rosario ,Medellin
7,23,6.258272,-75.581128,2010-01-04,A,Instituto Jorge Robledo,Medellin
13,24,6.283694,-75.576902,2010-01-29,A,I.E Republica de Uruguay,Medellin
4,25,6.239765,-75.666884,2010-01-17,A,Escuela Rural Astilleros,Medellin
21,26,6.20548,-75.51689,2010-01-03,A,Escuela Rural El Plan,Medellin
0,27,6.271891,-75.631123,2010-01-17,A,Centro de Salud San Javier La Loma,Medellin
20,28,6.248666,-75.605833,2010-01-17,A,Liceo Salazar y Herrera,Medellin
1,29,6.232313,-75.643773,2010-01-17,A,Escuela Marina Orth,Medellin
34,30,6.436867,-75.33045,2010-01-01,A,Salon Social Barbosa,Barbosa
35,31,6.375833,-75.445833,2010-01-06,A,Colegio Jose Manuel Sierra,Girardota
36,32,6.353971,-75.498851,2010-01-06,A,Colegio Presbitero Bernardo Montoya ,Copacabana
31,33,6.094458,-75.637469,2010-01-28,A,Santa Maria Goretti,Caldas
37,34,6.14144,-75.61315,2010-01-28,A,I.E La Doctora,Sabaneta
48,35,6.255245,-75.542478,2010-01-28,A,I.E Joaquin Vallejo Arbelaez ,Medellin
38,36,6.16793,-75.6438,2010-01-26,A,Colegio Concejo de Itagui,Itagui
39,37,6.33755,-75.5678,2010-01-28,A,Liceo Fernando Velez,Bello
41,39,6.22179,-75.61056,2010-01-28,A,I.E Pedro Octavio Amado,Medellin
42,40,6.29009,-75.55587,2010-02-05,A,I.E Ciro Mendia,Medellin
43,41,6.20661,-75.56616,2010-03-24,A,Comisaria El Poblado,Medellin
44,42,6.23637,-75.49844,2010-02-05,A,Escuela Rural Piedras Gordas,Medellin
45,43,6.20556,-75.685737,2010-05-03,A,Escuela Rural Quebrada Larga,Medellin
32,44,6.23563,-75.53024,2010-04-19,A,I.E Villa Turbay,Medellin
30,45,6.242238,-75.574031,2010-05-05,A,AMVA,Medellin
49,46,6.23532,-75.554,2010-04-28,A,I.E La Milagrosa ,Medellin
