OBJECTID_1,FID,OBJECTID,bd,id,Tipo,Fecha,Detonante,DetonanDes,Fuente,Subregion,Municipio,Pueblo,Sitio,Incertidum,Norte,Este,Fallecidos,Economicas,Notas
1,"0","1",ant,"8504",Landslide,2022/03/04 00:00:00.000,Rainfall,,Guardianes Antioquia,Valle de Aburrá,Bello,Corregimiento San Felix,Sector La China,Mid,6.398400000000000,-75.613600000000005,"0","0",Derrumbe con vía cerrada totalmente entre Bello a subir a La China.
2,"1","2",ant,"8464",Landslide,2021/11/24 00:00:00.000,Rainfall,,El Colombiano,Valle de Aburrá,Medellin,Corregimiento de Santa Elena,Km 22 + 050. Sector La Catalana,Mid,6.183000000000000,-75.465000000000003,"0","0","En Santa Elena, un deslizamiento de tierra taponó la vía principal que conduce a ese corregimiento, a la altura del kilómetro 22 + 050."
3,"3","3",ant,"7895",Landslide,,Anthropic,Otra causa - Por ejecución de proceso constructivo se esta realizando el,Comunidad,Valle de Aburrá,Sabaneta,San José,La Macana,Low,6.130500000000000,-75.618799999999993,"0","0",
4,"2","4",ant,"6772",Landslide,1999/06/03 00:00:00.000,Unknown,Desconocida,Cuerpo de Bomberos de Itaguí,Valle de Aburrá,Itaguí,Santa María La Nueva,,Mid,6.173232000000000,-75.620025999999996,"0","0",(di6author : rsb)(di6date : 4/06/01)
5,"3","5",ant,"7433",Landslide,2001/09/23 00:00:00.000,Rainfall,Lluvias - Lluvias + mal manejo de aguas lluvias,Bomberos Itagüí,Valle de Aburrá,Itaguí,Malta,K 53 Nº36-10,Mid,6.169045000000000,-75.622456999999997,"0","0",(di6author : jdc)(di6date : 2003/06/27)
6,"4","6",ant,"7886",Landslide,2012/05/08 00:00:00.000,Rainfall,Lluvias,Noticias Caracol - Página Web,Valle de Aburrá,Sabaneta,San José,Vereda San José,Mid,6.162375000000000,-75.616808000000006,"0","0",
7,"5","7",ant,"7738",Landslide,2007/05/07 00:00:00.000,Unknown,Falla - Deslizamiento que afectó 6 viviendas,El Colombiano,Valle de Aburrá,Itaguí,La Independencia,No Especificado,Mid,6.165326000000000,-75.618627000000004,"0","30",(di6author : julieta g)(di6date : mayo 9/07)
8,"6","8",ant,"1077",Landslide,2001/10/29 00:00:00.000,Rainfall,Lluvias - Deslizamientos que afectaron varias viviendas,Secretario de Gobierno-Itagui,Valle de Aburrá,Itagüi,Itagüí,Porvenir 1 y 5 y barrio Ajizal,Mid,6.194027000000000,-75.605447999999996,"0","93",Se presentaron caidas de muros en varias viviendas con 11 viviendas semidestruidas y 36 en riesgo. la emergencia fue atendida con bomberos itagui y personal de obras publicas. requieren 40 kit de cocina 50 colchonetas y 40 mercados. (DI6Author : JNG DI6D
9,"7","9",ant,"1089",Landslide,2002/06/04 00:00:00.000,Rainfall,Lluvias - Saturacion de terrenos que ocasionaron deslizamiento,Bomberos Itagüí,Valle de Aburrá,Itagüi,Itagüí,Sector el Morro,Mid,6.168183000000000,-75.619032000000004,"0","13",Destrucción parcial de las partes traseras de las tres casas. (di6author : bcc di6date : 02/06/11)
10,"8","10",ant,"1090",Landslide,2002/06/05 00:00:00.000,Rainfall,Lluvias - Saturación del terreno por fuertes lluvias,Bomberos Itagüí,Valle de Aburrá,Itagüi,Itagüí,Barrio Olivares sector quebrada y Bellavista,Mid,6.174180000000000,-75.619602999999998,"0","23",Destrucción de la parte trasera de dos de las casas (di6author : bcc di6date : 2002/06/11)
11,"9","11",ant,"1137",Landslide,2003/10/28 00:00:00.000,Rainfall,Lluvias - Se ptresenta deslizamiento que destruye una vivienda,Municipio de Itagüí,Valle de Aburrá,Itagüi,Itagüí,Barrio el Pesebre,Mid,6.168183000000000,-75.619032000000004,"0","0",El deslizamiento se presento en horas de la tarde y destruyo una vivienda dejando a 5 personas damnificadas. (DI6Author : JNG DI6Date : 2003-11-10)
12,"10","12",ant,"1242",Landslide,2005/10/08 00:00:00.000,Rainfall,Lluvias - Por lluvias fuerte de da ocurrencia de deslizamientos,Bomberos Municipio de Itagüi.,Valle de Aburrá,Itagüi,Itagüí,Sector el Rosario Villa Fátima Los Zuletas y Cruz,Mid,6.179720000000000,-75.611665000000002,"0","60",Con las fuertes lluvias y los deslizamientos tambien se generan el crecimiento de algunas quebrada que cruzan por los barrio señalados. (DI6Author : JNG DI6Date : 2005-10-24)
