bd,id,Tipo,Subtipo,Fecha,Detonante,DetonanDes,Fuente,Subregion,Municipio,Pueblo,Sitio,Incertidumb,Norte,Este,Fallecidos,Economicas,Notas,LinkFoto
ant,8461.000,Debris Flow,,2021-11-12,Rainfall,,El Colombiano,Valle de Aburrá,Medellin,Barrio Santo Domingo,Comuna 1( Popular),Mid,5.197,-74.895,0.000,"7 casa destruidas; 23 casas inundadas","Las fuertes lluvias generaron emergencia en el barrio Santo Domingo, comuna 1 de Medellín. Reporte inicial da cuenta de 30 viviendas dañadas, siete de ellas con pérdida total.",
ant,7415.000,Landslide,,2001-09-22,Unknown,Desconocida - No reportada,Bomberos Envigado,Valle de Aburrá,Envigado,,"Las Palmas; por Colegio San Jesé de las Vegas",High,6.121,-75.538,0.000,"0",(di6author : jdc)(di6date : 2003/06/27),
ant,7074.000,Debris Flow,,2000-10-01,Anthropic,Error humano - Represamiento de quebrada por basuras,Bomberos Itagüí,Valle de Aburrá,Itaguí,Las Mercedes,Dg 40 Nº41-86,Mid,6.170,-75.614,0.000,"0",(di6author : jdc)(di6date : 2003/06/27),
ant,1070.000,Debris Flow,,2001-10-14,Rainfall,Lluvias - Fuertes lluvias,Subsecretario de Gobierno Itagüí,Valle de Aburrá,Itagüi,Itagüí,El Guayabo Plaza Mayorista y el Progreso,Mid,6.168,-75.619,0.000,"20",El clopad atendió la emergencia a través del cuerpo de bomberos de itagui con el apoyo del cuerpo de bomberos de sabaneta defensa civil y maquinaria de obras públicas municipales. (DI6Author : GILBERTO ARI DI6Date : 16-10-2001),
ant,1089.000,Landslide,,2002-06-04,Rainfall,Lluvias - Saturacion de terrenos que ocasionaron deslizamiento,Bomberos Itagüí,Valle de Aburrá,Itagüi,Itagüí,Sector el Morro,Mid,6.168,-75.619,0.000,"13",Destrucción parcial de las partes traseras de las tres casas. (di6author : bcc di6date : 02/06/11),
ant,1132.000,Debris Flow,,2003-09-24,Rainfall,Lluvias - Fuertes lluvias en la terde provocaron inundaciones,Municipio de Itagüí,Valle de Aburrá,Itagüi,Itagüí,Sectro Plaza Mayorista barrios Santamaría la Nueva Ajizal.,Mid,6.168,-75.619,0.000,"30",Las fuertes lluvias tambien ocasionaron inundaciones en barrios del sur de medellín y algunos de envigado. (DI6Author : JNG DI6Date : 2003-09-30),
ant,1137.000,Landslide,,2003-10-28,Rainfall,Lluvias - Se ptresenta deslizamiento que destruye una vivienda,Municipio de Itagüí,Valle de Aburrá,Itagüi,Itagüí,Barrio el Pesebre,Mid,6.168,-75.619,0.000,"0",El deslizamiento se presento en horas de la tarde y destruyo una vivienda dejando a 5 personas damnificadas. (DI6Author : JNG DI6Date : 2003-11-10),
ant,1280.000,Debris Flow,,2006-03-22,Rainfall,Lluvias - Desbordamiento de las quebradas La Muñoz y Doña María,Secretario de Gobierno Municipal,Valle de Aburrá,Itagüi,Itagüí,Sector la Finca barrio San Gabriel,Mid,6.168,-75.619,0.000,"11",Se presento taponamientio del box colvert a la altura del barrio el palmar y malta lo cual causo inundaciones en los alrededores (di6author : bcc di6date : 2006/03/31),
ant,1311.000,Debris Flow,,2006-06-03,Rainfall,Lluvias - Inundación de las quebrada  Santa María La Muñoz Santa Catalina,Subsecretario de Gobierno,Valle de Aburrá,Itagüi,Itagüí,El Palmar Malta San Juan Eudes,Mid,6.168,-75.619,0.000,"0",El municipio aún no ha reportaado oficialmente. (DI6Author : GILBERTO ARI DI6Date : 04-06-06),
ant,1350.000,Debris Flow,,2007-05-26,Rainfall,Deslizamiento - La inundación tumbó vivienda,Junta Accion Comunal,Valle de Aburrá,Itagüi,,Quebrada la Cañaverala,High,6.168,-75.619,0.000,"0",Se confirmo el evento con la adminsitracion muncipal sr ali alarez sub secretario de gno dicen que el municipio esta tramitando apoyo de rehubicacion y arreindo y ayudas humanitarias ya fueron entregadas (DI6Author : GAMH DI6Date : 2007 06 01),
ant,1821.000,Debris Flow,,2011-06-04,Rainfall,Vendaval,P,Valle de Aburrá,Itagüi,,Villalia,High,6.168,-75.619,0.000,"650",,
ant,2033.000,Debris Flow,,2013-06-17,Rainfall,Lluvias,Reporte Cmgrd,Valle de Aburrá,Itagüi,Itagüí,Santa Catalina,Mid,6.168,-75.619,0.000,"80",,
ant,2469.000,Debris Flow,,1955-11-23,Unknown,Otra causa,Ingeominas,Valle de Aburrá,Itaguí,,6'10'19'' - 75'36'47'',High,6.168,-75.619,0.000,"0",Se desconoce la causa,
ant,2474.000,Landslide,,1956-07-19,Unknown,Otra causa,Ingeominas,Valle de Aburrá,Itaguí,,,High,6.168,-75.619,3.000,"0",Se desconoce la causa,
ant,2492.000,Landslide,,1964-09-07,Unknown,Otra causa,Ingeominas,Valle de Aburrá,Itaguí,,,High,6.168,-75.619,0.000,"0",Se desconoce la causa,
ant,2534.000,Debris Flow,,1970-11-01,Unknown,Otra causa,Ingeominas,Valle de Aburrá,Itaguí,,Quebrada Doña María,High,6.168,-75.619,0.000,"0",Se desconoce la causa,
ant,2590.000,Debris Flow,,1979-09-04,Unknown,Desconocida,Bdod-30033-Ing.,Valle de Aburrá,Itaguí,,,High,6.168,-75.619,9.000,"500",,
ant,2602.000,Debris Flow,,1979-09-24,Unknown,Otra causa,Ingeominas,Valle de Aburrá,Itaguí,,Quebrada Doña María y quebrada la Tabalaza,High,6.168,-75.619,11.000,"0",Se desconoce la causa,
ant,2746.000,Debris Flow,,1981-08-24,Unknown,Otra causa,Ingeominas,Valle de Aburrá,Itaguí,,,High,6.168,-75.619,0.000,"0",Se desconoce la causa,
ant,3419.000,Debris Flow,,1984-01-29,Unknown,Desconocida,Bopmberos Medellín,Valle de Aburrá,Itaguí,,Cll 46 con Cr 42.,High,6.168,-75.619,0.000,"0",Fabrica uniquimica se vió afectada.(DI6Author : RS)(DI6Date : 2003/01/14),
