"id","fecha_hora_registro","nombre_del_que_registra","entidad","cargo","fecha_hora_evento","incertidumbre_fecha","latitud","longitud","incertidumbre_ubicacion","tipo_movimiento_masa","origen","municipio","corregimiento","vereda_barrio","sector","direccion","muertes","heridos","desaparecidos","otras_afectaciones","fuente","observaciones","validado"
85,2024-07-09 10:00:00.000,Oscar Sanchez,SIATA - AMVA,Analista,2024-07-04 17:00:00.000,Baja,"6.295127",-75.531569,Baja,Flujo,,Bello,Granizal,,,,,,,,SIATA,,true
87,2024-07-09 10:00:00.000,Oscar Sanchez,SIATA - AMVA,Analista,2024-06-28 07:00:00.000,Baja,"6.27316",-75.615728,Baja,Flujo,,Medellín,San Cristóbal,Vallejuelos,,,,,,,SIATA,https://x.com/sttmed/status/1806661597927981413?t=8mMSOP8sbDZgo0p4brePhQ&s=08,true
88,2024-07-09 10:00:00.000,Oscar Sanchez,SIATA - AMVA,Analista,2014-10-30 04:00:00.000,Baja,"6.316441",-75.579412,Baja,Deslizamiento,,Bello,,Nueva Jerusalen,,,1,4,,"5 viviendas afectadas",El Tiempo,Noticia: https://www.youtube.com/watch?v=8pXBnkcjDgw,true
89,2024-07-09 10:00:00.000,Oscar Sanchez,SIATA - AMVA,Analista,2016-10-10 21:00:00.000,Baja,"6.442787",-75.3624889999999,Baja,Flujo,,Barbosa,El Hatillo,Quebrada El Bebedero,El Chocho,,,,,vía afectada kilómetro 5+500,Telemedellin,Noticia: https://www.youtube.com/watch?v=lCmOWj3vl3U,true
90,2024-07-09 10:00:00.000,Oscar Sanchez,SIATA - AMVA,Analista,2016-10-26 07:00:00.000,Baja,"6.319923",-75.486939,Baja,Flujo,,Copacabana,,El Cabuyal,sector Las Margaritas,Doble Calzada Medellín-Bogotá Km,16,,,"El material deslizado obligo al cierre total de la vía en una longitud aproximada de 200 metros (los cuatro carriles y gran parte del retorno al cabuyal), tumbando postes de luz, atrapando los vehículos que transitaban en ese momento con saldo de 16",El Colombiano,Noticia:https://www.elcolombiano.com/antioquia/movilidad/derrumbe-autopista-medellin-bogota-HC5242889,true
91,2024-07-09 10:00:00.000,Oscar Sanchez,SIATA - AMVA,Analista,2016-12-10 04:00:00.000,Baja,"6.187465",-75.652213,Baja,Flujo,,Medellín,San Antonio de Prado,Santa Rita,Urbanización Serranía,,,,,Son 140 familias las que habitan el conjunto residencial serranías y cerca de cinco han abandonado sus viviendas por el temor que los acompaña.,Telemedellin,https://www.youtube.com/watch?v=_GdRXlZxgTk,true
92,2024-07-09 10:00:00.000,Oscar Sanchez,SIATA - AMVA,Analista,2017-04-01 02:00:00.000,Baja,"6.193503",-75.66199,Baja,Flujo,,Medellín,San Antonio de Prado,El Salado,Vía a El Salado,,,,,,Telemedellin,,true
93,2024-07-09 10:00:00.000,Oscar Sanchez,SIATA - AMVA,Analista,2017-06-12 00:00:00.000,Media,"6.277512",-75.535327,Baja,Flujo,,Medellín,,Versalles Nº2,La Polmera,Carrera 21 D # 84Aa - 181,,,,,El Colombiano,https://www.elcolombiano.com/antioquia/cinco-viviendas-afectadas-por-deslizamiento-en-bello-oriente-EF6711134,true
94,2024-07-09 10:00:00.000,Oscar Sanchez,SIATA - AMVA,Analista,2017-06-23 06:00:00.000,Baja,"6.240396",-75.516527,Baja,Deslizamiento traslacional,,Medellín,Santa Elena,Santa Elena,,"Vía Hacia Santa Elena Kilómetro 7+420, Cerca de la Instituci",,,,,El Colombiano,https://www.elcolombiano.com/antioquia/movilidad/derrumbe-en-via-medellin-santa-elena-MD6775538,true
95,2024-07-09 10:00:00.000,Oscar Sanchez,SIATA - AMVA,Analista,2017-06-26 19:00:00.000,Baja,"6.271302",-75.536001,Baja,,,Medellín,,La Cruz,,carrera 23C #75C-98,,,,,El Colombiano,https://www.elcolombiano.com/antioquia/deslizamiento-en-el-barrio-manrique-la-cruz-NL6793483,true
